11 1 1
11 2 1
12 1 1
4 1 1
5 1 1
9 1 1
9 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 3
9 1 4
10 1 1
10 1 2
9 1 5
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
9 1 6
5 1 2
1 1 1
1 1 2
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
1 1 6
1 1 3
1 1 5
